make_offset,quote_bias_ticks,day,mode,ipr_pnl
0,0,-1,none,11736.0
0,0,-1,worse,13266.0
0,0,-2,none,49898.0
0,0,-2,worse,49502.0
0,0,-2,all,31748.0
0,0,-1,all,38135.0
0,1,-2,all,72090.0
0,0,0,worse,9805.0
0,0,0,all,21585.0
0,1,-2,none,49898.0
0,1,-2,worse,75149.0
0,0,0,none,-2477.0
0,1,0,worse,77374.0
0,1,0,none,-2477.0
0,1,-1,none,11736.0
0,1,-1,worse,77097.0
0,1,-1,all,69334.0
0,1,0,all,67247.0
0,2,-2,all,73844.0
0,2,-1,worse,76718.0
0,2,-1,all,71912.0
0,2,-1,none,11736.0
0,2,-2,worse,74859.0
0,2,-2,none,49898.0
0,2,0,all,74859.0
0,2,0,worse,76999.0
0,3,-2,all,73862.0
0,2,0,none,-2477.0
0,3,-2,none,49898.0
0,3,-2,worse,76078.0
0,3,-1,worse,77261.0
0,3,-1,all,72760.0
0,3,0,all,75356.0
0,3,-1,none,11736.0
0,3,0,worse,78504.0
0,3,0,none,-2477.0
1,0,-2,all,30504.0
1,0,-2,worse,51574.0
1,0,-1,all,36939.0
1,0,-2,none,49898.0
1,0,-1,worse,57538.0
1,0,-1,none,11736.0
1,0,0,worse,9476.0
1,0,0,all,20508.0
1,1,-2,none,49898.0
1,0,0,none,-2477.0
1,1,-2,all,54608.0
1,1,-2,worse,74831.0
1,1,0,none,-2477.0
1,1,-1,worse,76664.0
1,1,0,worse,77013.0
1,1,-1,all,41631.0
1,1,-1,none,11736.0
1,1,0,all,31904.0
1,2,-2,all,73913.0
1,2,-2,worse,76033.0
1,2,-1,all,72591.0
1,2,-1,none,11736.0
1,2,-1,worse,77147.0
1,2,-2,none,49898.0
1,2,0,none,-2477.0
1,2,0,all,75370.0
1,3,-2,worse,75948.0
1,2,0,worse,78518.0
1,3,-2,none,49898.0
1,3,-2,all,73377.0
1,3,-1,all,71995.0
1,3,-1,worse,77177.0
1,3,-1,none,11736.0
1,3,0,worse,78441.0
1,3,0,all,74811.0
1,3,0,none,-2477.0
2,0,-2,all,53164.0
2,0,-2,worse,50366.0
2,0,-1,none,11736.0
2,0,-2,none,49898.0
2,0,-1,all,40606.0
2,0,-1,worse,56389.0
2,0,0,worse,8403.0
2,0,0,all,30870.0
2,0,0,none,-2477.0
2,1,-2,worse,62980.0
2,1,-2,none,49898.0
2,1,-2,all,54000.0
2,1,-1,all,44553.0
2,1,-1,worse,64600.0
2,1,0,none,-2477.0
2,1,-1,none,11736.0
2,1,0,all,47217.0
2,1,0,worse,60210.0
2,2,-2,worse,75930.0
2,2,-2,all,53944.0
2,2,-2,none,49898.0
2,2,-1,all,44281.0
2,2,-1,none,11736.0
2,2,-1,worse,77050.0
2,2,0,all,46968.0
2,3,-2,all,72961.0
2,2,0,worse,78455.0
2,2,0,none,-2477.0
2,3,-2,none,49898.0
2,3,-2,worse,75563.0
2,3,-1,worse,76703.0
2,3,0,worse,78029.0
2,3,-1,all,71563.0
2,3,-1,none,11736.0
2,3,0,all,74367.0
2,3,0,none,-2477.0
